"id","positions"
"-85869","AMF"
"-85869","LAMF"
"-85869","RCMF3"
"504805","RDMF"
"334850","RCB"
"334850","RB"
"334850","LCB3"
"217229","GK"
"166056","LB"
"166056","LW"
"259332","LAMF"
"259332","RAMF"
"259332","CF"
"204850","RAMF"
"204850","RW"
"134713","LDMF"
"134713","RDMF"
"134713","LCMF"
"262036","CF"
"70196","LCB"
"70196","RCB"
"424104","LDMF"
"424104","RDMF"
"424104","RCMF"
"428255","RCMF"
"428255","LDMF"
"428255","RDMF"
"194194","LCMF"
"194194","LDMF"
"194194","RDMF"
"95744","LCB"
"95744","LCB3"
"675","LCB"
"675","CB"
"154138","RAMF"
"154138","RCMF3"
"154138","RW"
"223054","RCB"
"223054","RCB3"
"116576","CF"
"116576","AMF"
"32444","RB"
"32444","RWB"
"32444","RW"
"31038","LB"
"31038","LWB"
"95420","AMF"
"95420","LW"
"95420","LAMF"
"39209","LDMF"
"39209","LCMF"
"154644","RB"
"154644","LCB3"
"272919","GK"
"429101","GK"
"280692","LCMF"
"280692","LDMF"
"305721","CF"
"305721","RW"
"-95424","LW"
"-95424","LB"
"372359","LW"
"372359","RW"
"372359","CF"
"17760","LW"
"17760","LAMF"
"17760","RW"
"418878","LCB"
"418878","RCB"
"418878","RCB3"
"18796","RB"
"18796","DMF"
"18796","RB5"
"148836","CF"
"148836","AMF"
"276043","LB"
"276043","LB5"
"62835","LB"
"62835","LWB"
"62835","LB5"
"70168","RB"
"70168","RB5"
"160014","RW"
"160014","CF"
"160014","RAMF"
"136836","GK"
"269799","DMF"
"269799","LCMF"
"269799","RCMF"
"304703","CF"
"197076","AMF"
"197076","RW"
"197076","LCMF"
"99238","GK"
"304388","GK"
"154136","RDMF"
"154136","LDMF"
"162024","CF"
"233602","RB"
"29865","LW"
"29865","LAMF"
"125945","LB"
"141498","AMF"
"141498","RAMF"
"141498","CF"
"146815","LB"
"146815","LWB"
"17112","LAMF"
"17112","RAMF"
"17112","AMF"
"131284","RCB"
"53293","CF"
"83963","LB"
"156184","LDMF"
"156184","RCMF"
"156184","RDMF"
"148835","LCB"
"103765","RAMF"
"103765","RW"
"46517","CF"
"46517","AMF"
"149922","GK"
"58298","LDMF"
"58298","RDMF"
"58298","DMF"
"62894","RDMF"
"62894","RCMF"
"62894","LDMF"
"220422","LWB"
"289974","LCB"
"289974","RCB"
"262035","GK"
"18803","CF"
"18803","LAMF"
"50174","CF"
