"acceleration_success","action_in_counterattack_success","aerial_duel_success","ball_delivery_to_danger_zone_success","ball_delivery_to_penalty_area_success","ball_entry_in_final_third_success","controlled_box_entry_success","controlled_penalty_area_entry_success","cross_to_penalty_area_success","cross_to_goalie_box_success","dangerous_opponent_half_recovery_success","dangerous_own_half_loss_success","defensive_duel_success","dribble_success","forward_pass_success","foul","free_kick_success","interception_success","key_pass_success","loose_ball_duel_success","opportunity_success","opportunity_creation_success","pass_to_zone_fourteen_success","pass_to_final_third_success","pass_to_penalty_area_success","progressive_pass_success","progressive_run_success","recovery_success","recovery_counterpressing_success","red_cards","smart_pass_success","shot_after_corner_success","shot_after_free_kick_success","shot_after_throw_in_success","shot_assist_success","shot_buildup_pass_success","shot_from_cross_success","shot_from_danger_zone_success","shot_from_outside_area_success","through_pass_success","throw_in_success","touch_in_box_success","touch_success","vertical_pass_success","yellow_cards","result"
5,0,32,0,10,2,1,1,4,0,7,1,6,37,101,14,1,18,3,19,4,3,16,35,9,61,7,112,59,1,3,0,1,1,6,0,0,1,1,8,25,8,0,100,1,"0"
1,0,28,0,8,2,0,2,3,1,3,0,10,13,75,10,1,10,2,12,5,3,8,23,6,49,3,76,36,0,1,2,0,1,7,0,1,3,0,3,18,8,0,84,1,"0"
5,0,34,0,10,1,0,0,6,0,2,3,13,26,111,20,1,33,0,14,2,3,23,39,10,58,4,116,59,0,2,0,0,0,8,0,0,2,1,0,20,3,0,74,1,"0"
4,0,7,0,10,2,0,1,3,0,2,0,2,13,79,12,0,10,1,10,1,4,8,24,9,40,3,54,29,0,0,0,0,0,5,0,0,1,1,0,11,5,0,97,3,"1"
13,0,14,0,4,0,0,0,1,1,1,2,9,12,55,13,0,10,0,10,2,1,5,21,4,30,5,53,26,0,1,0,0,0,2,0,1,1,1,0,23,2,0,24,1,"1"
10,0,27,0,11,4,0,2,1,0,3,0,18,21,99,14,1,12,2,23,3,4,15,30,10,57,6,82,51,0,3,1,0,1,8,0,0,2,3,0,38,5,0,111,4,"0"
6,0,22,0,9,2,0,1,5,1,2,1,24,16,137,4,0,9,1,15,5,2,11,42,8,75,3,95,40,0,1,1,0,0,6,0,0,2,2,1,30,7,0,105,1,"0"
10,0,17,0,8,2,0,0,1,0,2,0,14,7,89,11,0,16,1,11,5,2,5,34,8,53,8,69,33,0,0,2,0,0,6,0,0,1,1,1,21,10,0,123,0,"0"
4,0,8,0,8,0,0,0,2,0,2,0,23,11,68,10,0,7,2,7,4,2,6,24,8,37,3,70,29,0,1,0,0,0,2,0,0,3,0,4,8,5,0,68,3,"0"
4,0,16,0,9,2,0,0,2,0,2,0,20,14,64,23,0,13,1,10,3,4,15,21,9,46,3,75,38,0,3,0,0,1,6,0,0,1,2,3,21,3,0,43,3,"1"
6,0,18,0,10,1,0,1,4,0,1,0,15,27,115,10,0,16,3,9,1,4,23,44,9,57,6,88,52,0,1,0,0,0,9,0,0,0,0,3,27,7,0,137,1,"0"
6,0,29,0,5,1,0,1,0,0,4,0,13,18,65,26,2,13,0,16,5,2,14,23,4,37,2,103,57,0,0,1,0,0,4,0,0,1,4,1,18,1,0,49,2,"0"
7,0,13,0,7,2,0,2,3,0,2,1,13,7,74,13,0,17,0,15,4,2,5,16,5,31,6,67,30,0,0,0,0,0,4,0,0,1,1,0,13,3,0,59,1,"0"
2,0,23,0,17,0,0,2,8,2,3,0,17,14,105,8,4,7,4,11,6,6,9,50,15,71,5,84,46,0,0,1,0,1,12,0,0,2,4,2,28,10,0,149,0,"0"
10,0,35,0,14,4,0,1,4,0,6,0,15,16,101,15,2,16,1,22,7,6,32,36,13,60,7,80,47,0,1,0,0,1,11,0,0,2,4,0,21,9,0,120,3,"1"
4,0,19,0,7,1,0,1,2,0,0,1,10,6,41,11,1,18,0,6,1,1,5,14,6,27,2,66,31,0,0,0,0,0,1,0,0,0,0,2,27,3,0,58,3,"0"
6,0,27,0,13,3,0,3,2,1,1,0,23,11,122,20,0,16,3,18,2,3,32,51,10,77,8,117,81,0,9,0,1,0,7,0,0,0,1,7,30,2,0,111,4,"0"
